dataset_name,--dedups,--maps-and-filters argument,--filter-short-documents,--preprocessings,Reasons to remove
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_182_correodelsur_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_118_www_elheraldo_hn,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_386_www_prensalibre_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_233_www_dinero_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_254_diario_mx,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_294_www_laopinion_com_co,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_project_gutenberg,dedup_document filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_23_www_elconfidencialdigital_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_286_www_nacion_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_422_www_formulatv_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_417_www_radiolaprimerisima_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_406_www_americaeconomia_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_367_elcorreoweb_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_276_radio_uchile_cl,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_231_ojo_pe,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_223_www_eltambor_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_325_www_laprensa_hn,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_250_www_cooperativa_cl,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_246_www_eldiarionuevodia_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_34_www_losandes_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_the_pile_europarl,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_277_www_entornointeligente_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_172_www_rionegro_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_167_www_ambientum_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_21_www_elperiodicodearagon_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_116_www_latribuna_hn,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_53_www_expreso_ec,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_404_www_telam_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_315_lasillavacia_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_431_www_elperiodicoextremadura_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_91_www_diario26_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_392_www_muypymes_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_169_www_el_carabobeno_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_320_www_paginasiete_bo,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_90_peru_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_wiktionary_filtered/data,dedup_document filter_remove_empty_docs split_sentences_es dedup_template_soft ,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_es dedup_template_soft  filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_232_tn_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_44_ladiaria_com_uy,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_220_www_vanguardia_com_mx,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_130_www_elperiodicomediterraneo_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_376_www_elpopular_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_229_www_expansion_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_253_www_debate_com_mx,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_28_www_fayerwayer_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_78_www_listindiario_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_359_www_efeverde_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_256_www_laprovincia_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_226_www_ole_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_317_diariocorreo_pe,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_165_www_ticbeat_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_401_www_elperiodicodemexico_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_675_www_elespectador_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_257_www_diaridetarragona_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_213_www_hola_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_203_www_que_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_405_www_emol_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_67_www_elpais_cr,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_430_www_eldiario_ec,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_324_gestion_pe,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_288_www_marca_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_71_www_rtve_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_381_www_cuartopoder_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_209_misionesonline_net,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_86_www_motorpasion_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_373_www_farodevigo_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_287_www_cibercuba_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_249_www_telecinco_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_79_www_laopiniondemurcia_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_299_www_lne_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
