dataset_name,--dedups,--maps-and-filters argument,--filter-short-documents,--preprocessings,Reasons to remove
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_wikivoyage_filtered/data,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_wikiversity_filtered/data,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_pseudocrawl-filtered_501_theindependent_sg,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_en_the_pile_europarl,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_en_royal_society_corpus,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_wikiquote_filtered/data,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_pseudocrawl-filtered_304_www_semana_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_pseudocrawl-filtered_498_www_channelnewsasia_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_wikibooks_filtered/data,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_pseudocrawl-filtered_638_globalvoices_org,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_pseudocrawl-filtered_497_www_straitstimes_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
